,pk_credit_account_id,ifrs9_stage_on_granting_date_final,ifrs9_stage_final,ifrs9_assessment_type,credit_account_costs,credit_account_income,ifrs9_portfolio,poci_flag,expected_cashflow,ifrs9_bucket,pd_value,lgd_value,ccf_value,ead_value,pd_bucket,lgd_bucket,ccf_bucket,pd_vector_entry_id,prepayments_vector_entry_id,lgd_vector_entry_id,ccf_vector_entry_id,collateral_allocated,ecl_balance,ecl_offbalance,begaap_classification,begaap_provision_balance,begaap_provision_offbalance,asset_type,ppa,original_loan_amount,pk_snapshot_date,record_creation_date,insert_job_id,write_off_sum,ecl_balance_eur,ecl_offbalance_eur,begaap_provision_balance_eur,begaap_provision_offbalance_eur,begapp_assessment_type,ead_value_eur
51,AA19332YKZ65,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,987.895,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,3.572366798,1.333895172,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
52,AA193326JNX6,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,1131.34,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,4.998015841,0.620648509,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
53,AA193324MRJ6,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,10084.93,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,50.085594653,0,P_PAST_DUE,0,0,credit,,10000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
54,AA19332J6LPF,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,1089.095,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,4.579846645,0.829012982,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
55,AA19332XC151,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,744.64,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,1.176734077,2.521431126,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
56,AA19332LD7R5,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,867.765,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,2.402982963,1.906667778,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
57,AA19332FR161,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,984.385,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,3.548528174,1.340301803,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
58,AA19332TFT2G,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,641.5,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,0.160861048,3.025071722,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
59,AA19332XPDGX,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,1182.08,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,5.491823004,0.378835466,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
60,AA1933289SVN,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,1239.85,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,6.05689772,0.100668523,P_PAST_DUE,0,0,credit,,1250,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
